Unnamed: 0,individual,alias
0,bien hoa,thành phố
3,hcm,thanh pho
8,vinh phuc,tại thành phố nào
14,binh duong,tại tp nào
15,hn,o thành phố nào
20,da nang,o tp nào
24,bao loc,nằm ở thành phố nào
34,binh thuan,nằm tại thành phố 
35,tcb,nằm tại thành phố nào
36,long an,thuộc thành phố nào
50,dong xoai,thuộc thành phố ?
56,lam dong,gần thành phố nào
57,can tho,tai thanh pho nao
64,ben tre,tai tp nao
65,dong nai,o thanh pho nao
67,dak lak,o tp nao
77,phu yen,nam o thanh pho nao
79,ba ria - vung tau,nam tai thanh pho 
90,dak nong,nam tai thanh pho nao
94,tien giang,thuoc thanh pho nao
121,hung yen,thuoc thanh pho ?
126,thu duc,gan thanh pho nao
131,vung tau,
142,hai duong,
144,dong ha,
145,pho yen,
147,khanh hoa,
150,da lat,
151,phu giao,
171,bac ninh,
183,thai nguyen,
187,pn,
190,cam duc noi thang,
202,dambri,
209,thuan an,
218,brvt,
220,thuan an - binh duong,
245,thua thien hue,
253,hoa binh,
267,vinh long,
268,thanh hoa,
277,binh phuoc,
299,giao luu,
308,me linh,
313,hoa lac,
360,phu quoc,
373,quy nhon,
376,hai ninh qb,
378,tuy hoa,
388,tan uyen,
398,sam son,
403,dong hoi,
420,ha long,
421,vt,
422,pham the hien,
424,ninh thuan,
429,nha trang,
437,ha nam,
461,tp bien hoa,
485,quang ninh,
488,nha trang khanh hoa,
502,bac giang,
512,nho quan,
522,ba ria vung tau,
528,quang nam,
531,chau doc,
539,binh dinh,
555,tam ky,
563,hai phong,
570,buon,
581,nam dinh,
585,do son,
594,thuan an binh duong,
606,uong bi,
617,hp,
620,thai binh,
638,tp vung tau,
641,bai sau vung tau,
654,tay ninh,
679,yen thuy,
681,phan thiet,
720,cam ranh cam lam,
729,cam ranh,
749,yen dinh thanh hoa,
762,hoi an,
772,phu tho,
781,anh,
782,gia nghia,
799,/,
815,buon ma thuot,
830,aqua city,
864,tp thu duc,
887,phu.mat,
888,tay nguyen,
889,binh duong.gan,
897,thi,
900,xuat,
903,lao cai,
907,van don,
908,ban,
927,an giang,
942,tu son,
953,trang bom,
962,ba ria,
1001,cao phong hoa binh,
1033,hue,
1039,yen bai,
1063,dn,
1085,ninh tinh khanh hoa,
1093,song cau phu yen,
1110,thu do,
1124,nha,
1134,tu mo,
1138,tb,
1154,bim son,
1172,tp quang ngai,
1185,noi,
1190,giang bien,
1205,vinh yen,
1210,ha tinh,
1239,hb,
1240,luong son,
1292,vinh loc,
1296,phieng luong co,
1297,rach gia,
1345,tw,
1353,nam,
1355,thu dau mot binh duong,
1362,cu chi,
1365,dong bang,
1366,vivo city,
1398,long khanh dong nai,
1402,thu dau mot,
1427,dau tieng,
1434,kon tum,
1443,lang son,
1488,dubai,
1492,tdm,
1532,tan an,
1565,di an,
1597,kien giang,
1653,ban nha hai phong,
1660,nam ha,
1707,ki quan,
1722,ba vi,
1767,phuc yen,
1785,dong nam,
1788,ha tay cu,
1793,thong minh,
1838,gon,
1878,ha tien,
1946,phuc tho,
1966,tx ninh hoa,
2008,duc hoa,
2017,tp ba ria,
2030,bria - vtau,
2061,shr,
2073,hoai duc,
2085,can giuoc,
2100,moi binh duong,
2108,bd,
2159,thu dau mot - binh duong,
2175,cam pha,
2207,phu my,
2227,dong bang song cuu long,
2276,moc chau,
2315,malaysia,
2387,cong vien,
2408,bac,
2413,dien khanh,
2437,nam ban,
2445,tpct,
2535,dinh quan,
2566,cam ranh - nha trang,
2574,sdcc,
2629,trieu,
2631,01,
2658,duong minh chau tay ninh,
2671,tp nha trang,
2700,benh,
2720,vinh phu,
2751,can giuoc long an,
2759,quang tri,
2778,tan son vvv,
2817,ninh hoa,
2834,bds cao,
2841,br - vt,
2842,dong phu,
2852,bien vung tau,
2900,ninh binh,
2921,kontum,
2929,yen tinh thai nguyen,
2998,phan thiet binh thuan,
3018,ben luc,
3054,daklak,
3073,bo cong an,
3076,origami,
3082,nha trang - khanh hoa,
3120,ha thanh,
3121,bien giang,
3133,kham thien,
3140,con an,
3154,bmt,
3168,tdm binh duong,
3204,phan rang,
3221,sdt,
3235,shcc,
3239,luong son hoa binh,
3245,pmh,
3261,la<unk>,
3353,odt,
3382,putonghua,
3387,to quoc,
3396,lagi,
3428,quang ngai,
3436,mien bac,
3480,tecco-home-an-phu,
3487,my tho,
3518,nam dao,
3611,phu tho hoa,
3688,hong,
3716,long thanh,
3738,bau bang binh duong,
3743,khong trung,
3778,anh chi,
3787,song cong,
3800,son,
3802,vinhomes gardenia,
3854,gia,
3908,tinht kontum,
3993,dai thinh,
4038,di trach,
4041,bac vinhomes ocean park,
4083,aqua,
4136,dien ban,
4175,bien hoa vung tau,
4193,hau giang,
4242,thanh xuan :,
4260,dxh,
4422,v. vv,
4429,keppel land,
4595,gia lai,
4640,cao phong,
4647,. xti,
4683,xuan loc,
4719,vinh,
4726,tdc,
4733,son tay,
4779,hm,
4808,thuy nguyen,
4824,my hao,
4829,dong anh,
4858,hy,
4872,lam khanh hoa,
4887,ql1a,
4896,mui ne,
4927,bac ban,
4939,co to,
4970,do,
4977,tp ha long,
5015,tp hoa binh,
5044,le quang,
5163,gia dinh,
5202,go cong,
5249,masterise homes vinhomes grand,
5267,bao lam,
5323,tp. thuan an - binh duong,
5350,lam ha lam dong,
5371,moscow,
5446,nhat binh thuan,
5454,tp vinh,
5456,tot,
5459,khanh vinh,
5472,tpvl,
5507,ky anh,
5516,zalo,
5539,viet nam,
5589,binh chau,
5626,loc ngai,
5644,ha no,
5652,long khanh,
5654,bien hoa - dong nai,
5690,mien trung,
5693,chon thanh,
5733,bao loc lam dong,
5768,vi thanh,
5828,hamony,
5846,tl,
5849,tx ba don ma,
5870,gpxd,
5885,venezia beach resort binh,
5896,mat,
5924,dong xoai - binh phuoc,
5965,toan quoc,
5975,bac phu,
5982,tp.,
5996,phu bai,
6024,tallahassee,
6052,imessages,
6066,view vinuni,
6113,tay ho naooo,
6116,250m,
6120,phu ly,
6121,̣ d<unk>,
6125,dong xoai binh phuoc,
6141,do son hai phong,
6162,lai thieu,
6184,phong,
6249,thuan tien giao,
6274,tp pho yen,
6293,dna,
6313,bo,
6382,moi,
6414,thuan thanh,
6466,thu dau,
6467,tp di an,
6488,quang ninh 4,
6563,ba ria city gate,
6564,tgdd,
6568,tay ban nha,
6823,dong nam quang nam,
6974,khuong,
7028,an dong,
7082,tp bmt,
7175,ocean,
7253,thanh ha,
7290,nghe an,
7331,boulevard,
7344,vin hung,
7346,tp buon ma thuot daklak hotline,
7426,dai bac,
7436,hoe thi,
7542,van canh,
7615,nb,
7638,thiet ke,
7680,imessage,
7687,vn,
7702,cdt,
7748,da lat lam dong,
7905,doi phat ba,
7958,song cau,
7962,my dinh,
7971,tx ben luc,
7974,singapore,
7996,sec,
8148,cao toc bien hoa - vung tau,
8154,chau,
8263,bien,
8289,le duc tho,
8295,saigon riverside,
8309,ttnt moc chau,
8320,tan son nhat,
8325,tp thanh hoa,
8362,vi,
8487,tam dao,
8740,hon rom,
8758,- da nang,
8878,di an binh duong,
8925,quan3,
8941,yen vien,
8965,larissa,
9024,di linh,
9036,hoai nhon,
9066,can gio,
9097,ky anh ha tinh,
9147,nt,
9180,thanh oai,
9200,sapa,
9212,"huyen cu m "" gar",
9218,tan ky,
9232,phu nhuan,
9252,tp tan an,
9261,ranh,
9279,ty,
9304,van lam,
9313,ven song,
9348,kcn,
9357,quang yen bat,
9418,bien quy nhon,
9429,soc trang,
9430,phu my hung,
9465,nam vinh yen,
9480,xxm,
9600,tl.via,
9659,hbt,
9675,truong giang,
9693,cam duc,
9710,tan an hoi,
9789,dong nam bo,
9830,sms,
9859,dong nam a,
9885,bac kan,
9918,trich luc,
9969,trang bang,
9970,phu rieng bp,
