Unnamed: 0,individual,alias
1,ha dong,tại quận nào
2,3,tại q nào
3,10,o quận nào
4,phu nhuan,o q nào
5,long thanh,nằm ở quận nào
9,binh tan,nằm tại quận 
10,dien ban,nằm tại quận nào
11,1,thuộc quận nào
13,9,thuộc quận ?
15,thanh xuan,gần quận nào
18,thu duc,tai quan nao
20,son tra,tai q nao
23,kien an,o quan nao
27,chuong my,o q nao
28,6,nam o quan nao
33,long bien 1,nam tai quan 
34,ham tan,nam tai quan nao
36,can giuoc,thuoc quan nao
37,8,thuoc quan ?
40,2 chau,gan quan nao
46,ham thuan bac,
47,hoa vang,
52,go vap,
56,thanh pho da lat,
57,ninh kieu,
58,lien chieu,
59,thanh tri,
60,thanh pho di an,
61,tan phu,
63,hoang mai,
64,mo cay 5,
65,thanh pho bien hoa,
66,hoai duc,
67,thanh pho buon ma thuot,
69,thi xa la gi,
70,thi xa tan uyen,
72,ngu hanh son,
76,thanh pho thu dau 1,
77,song hinh,
79,thanh pho vung tau,
80,7,
82,long bien,
85,ben luc,
90,dak mil,
91,2,
92,thu thua,
93,cu chi,
94,thanh pho my tho,
95,12,
97,duc hoa,
102,trang bom,
104,vinh cuu,
105,di linh,
106,thanh khe,
109,xuan loc,
110,bau bang,
114,phong dien,
116,thi xa ben cat,
118,hoc mon,
121,van lam,
124,nha be,
125,tan binh,
126,truong tho,
127,thach that,
135,sin chai,
136,cau giay,
137,phu my tdm,
139,phuc yen,
142,kim thanh,
158,bac binh,
165,4,
168,soc son,
172,hiep binh chanh,
177,binh chanh,
178,2 an,
183,pho yen,
189,hoa lac,
190,cam lam,
218,xuyen moc,
223,binh thanh,
239,hong bang,
240,uoc oai,
243,thanh pho bao loc,
245,thanh pho hue,
248,phu giao,
253,lac thuy,
254,thanh pho thuan an,
255,thi xa phu my,
260,can duoc,
266,tuy phong,
267,8 binh,
268,thanh pho sam son,
277,thi xa binh long,
278,hon,
279,"cu m""gar",
292,phu rieng,
293,cai rang,
298,dong phu,
308,lam ha,
310,tan lac,
311,huong lo 65,
322,hoan kiem,
326,cam le,
342,vinh 2,
347,bao lam,
349,van giang,
359,bac tu liem,
361,dong anh,
370,11,
385,8 duong,
387,dien khanh,
389,gia lam,
392,5 tu liem,
394,thuy nguyen,
403,g ninh,
437,ly nhan,
442,5,
458,ue vo,
474,bai chay,
480,khanh vinh,
485,van don,
502,hiep hoa,
522,chau duc,
529,van ninh,
544,binh thuy,
562,phu cu,
566,dt770b,
574,ben cat,
581,giao thuy,
585,kien thuy,
601,my dinh 1,
