Unnamed: 0,individual,alias
1,1.0,tầng
2,7.0,lầu
3,2.0,
4,9.0,
8,24.0,
13,14.0,
15,29.0,
20,3.0,
25,4.0,
35,45.0,
41,5.0,
71,8.0,
129,6.0,
214,12.0,
292,100.0,
335,0.0,
378,22.0,
448,17.0,
492,41.0,
506,10.0,
517,30.0,
575,34.0,
579,23.0,
661,27.0,
787,15.0,
1098,40.0,
1126,20.0,
1156,28.0,
1201,36.0,
1445,26.0,
1546,38.0,
1580,16.0,
1735,25.0,
1740,1806.0,
1958,42.0,
2029,35.0,
2064,43.0,
2326,19.0,
2362,31.0,
2463,18.0,
2591,60.0,
2702,21.0,
3172,13.0,
3209,44.0,
3672,65.0,
3835,11.0,
4146,33.0,
7446,32.0,
8107,81.0,
8234,147.0,
8602,39.0,
8708,108.0,
