Unnamed: 0,individual,alias
12,65.0,chiều dài mặt tiền
17,6.0,chieu dai mat tien
20,4.0,
23,401.0,
26,1416.0,
40,10.0,
42,5.0,
50,90.0,
54,9.0,
59,0.0,
68,200.0,
69,31.0,
107,8.0,
118,61.0,
127,456.0,
133,45.0,
136,13.0,
143,32.0,
150,19.0,
152,11.0,
153,38.0,
171,467.0,
191,53.0,
210,35.0,
217,46.0,
237,52.0,
243,21.0,
244,3.0,
253,25.0,
266,30.0,
306,417.0,
308,128.0,
361,474.0,
364,12.0,
371,17.0,
375,458.0,
400,75.0,
431,122.0,
498,7.0,
501,42.0,
511,57.0,
514,86.0,
528,135.0,
550,51.0,
564,18.0,
583,43.0,
596,34.0,
601,82.0,
673,37.0,
709,125.0,
713,55.0,
715,616.0,
725,22.0,
727,368.0,
741,20.0,
743,14.0,
748,346.0,
757,56.0,
791,59.0,
828,102.0,
843,63.0,
844,73.0,
853,36.0,
860,47.0,
867,44.0,
894,15.0,
898,76.0,
909,345.0,
932,85.0,
957,1220.0,
963,50.0,
1001,40.0,
1021,83.0,
1066,205.0,
1084,67.0,
1099,62.0,
1132,500.0,
1182,78.0,
1190,540.0,
1255,785.0,
1275,41.0,
1282,462.0,
1307,48.0,
1336,524.0,
1398,27.0,
1403,16.0,
1427,100.0,
1443,510.0,
1446,119.0,
1540,54.0,
1618,913.0,
1689,66.0,
1776,26.0,
1782,455.0,
1799,912.0,
1879,145.0,
1955,551.0,
1966,64.0,
2015,7515.0,
2062,39.0,
2073,375.0,
2175,68.0,
2176,1056.0,
2177,457.0,
2242,74.0,
2286,107.0,
2301,2486.0,
2309,573.0,
2343,33.0,
2465,120.0,
2467,475.0,
2478,575.0,
2597,112.0,
2612,58.0,
2644,148.0,
2648,142.0,
2725,72.0,
2800,445.0,
2833,235.0,
2913,81.0,
2917,761.0,
2929,28.0,
2947,1266.0,
3121,339.0,
3138,23.0,
3183,24.0,
3327,840.0,
3574,1214.0,
3690,1072.0,
3723,93.0,
3724,144.0,
3844,425.0,
3893,520.0,
3900,155.0,
3961,527.0,
3981,411.0,
4030,741.0,
4046,175.0,
4105,96.0,
4415,95.0,
4443,366.0,
4592,450.0,
4627,215.0,
4644,348.0,
4705,49.0,
4747,1.0,
4762,352.0,
4889,1015.0,
4902,1625.0,
4971,365.0,
5035,444.0,
5155,132.0,
5222,29.0,
5227,160.0,
5268,341.0,
5358,403.0,
5362,2068.0,
5427,70.0,
5551,810.0,
5643,430.0,
5707,88.0,
5709,476.0,
5754,60.0,
5760,506.0,
6015,105.0,
6080,114.0,
6153,530.0,
6188,336.0,
6275,195.0,
6289,440.0,
6303,180.0,
6318,2.0,
6333,181.0,
6364,584.0,
6366,381.0,
6436,692.0,
6460,461.0,
6478,535.0,
6498,385.0,
6525,71.0,
6626,612.0,
6644,5575.0,
6697,412.0,
6698,465.0,
6713,376.0,
6898,209.0,
6902,405.0,
6938,91.0,
6979,80.0,
7145,410.0,
7206,1905.0,
7259,505.0,
7304,892.0,
7320,552.0,
7474,136.0,
7792,325.0,
7818,435.0,
7982,615.0,
8043,1189.0,
8209,1943.0,
8298,788.0,
8355,488.0,
8436,115.0,
8631,617.0,
8638,750.0,
8776,79.0,
8782,138.0,
9040,585.0,
9185,110.0,
9312,556.0,
9641,402.0,
9692,453.0,
9732,1202.0,
9775,335.0,
9786,925.0,
9805,415.0,
9808,495.0,
9898,395.0,
9959,1036.0,
