Unnamed: 0,house_type,house_alias
0,shophouse,shophouse
8,chung cu,chung cu
31,lien,lien
37,officetel,officetel
38,toa vinaconex,toa vinaconex
77,cap 4,cap 4
101,studio,studio
132,shophouse bien,shophouse bien
150,biet thu,biet thu
169,khach san,khach san
205,bo kinh,bo kinh
224,ch,ch
227,hang sang,hang sang
321,song lap,song lap
323,lien ke,lien ke
349,cong nghiep,cong nghiep
379,shophouse mat bien,shophouse mat bien
427,duplex,duplex
436,shophouse thuong mai,shophouse thuong mai
454,smarthome,smarthome
466,villas bien,villas bien
485,sill park,sill park
497,harbor view,harbor view
504,officitel,officitel
506,khach san 3,khach san 3
516,tdc,tdc
557,don lap,don lap
575,penthouse,penthouse
584,toa sf,toa sf
789,thap tang,thap tang
885,4 sao,4 sao
960,cap 2,cap 2
975,c4,c4
1000,gia duplex,gia duplex
1075,ke,ke
1092,bungalow,bungalow
1095,compound,compound
1135,office,office
1175,villa,villa
1206,phong,phong
1284,vip,vip
1366,lofthouse,lofthouse
1368,n01,n01
1371,nat,nat
1384,duakey,duakey
1385,ban,ban
1489,do thi,do thi
1624,biet,biet
1713,mini complex,mini complex
1719,nghi duong,nghi duong
1752,cap 3,cap 3
1783,homestay,homestay
1796,rung san xuat,rung san xuat
1802,khu biet,khu biet
1826,kdc,kdc
1850,5,5
1863,xa hoi,xa hoi
1871,nha vuon,nha vuon
1891,nhin chung cu,nhin chung cu
1949,du lich,du lich
1974,cc,cc
1994,dual-key,dual-key
2036,condotel,condotel
2155,khu,khu
2328,apartment,apartment
2352,loai biet,loai biet
2371,shoptel,shoptel
2454,mat bien,mat bien
2512,chinh,chinh
2540,ban villa,ban villa
2668,mini,mini
2754,kdt,kdt
2770,can ho,can ho
2805,128gb,128gb
2819,dat,dat
2843,penthouse sapphire,penthouse sapphire
3013,nha van phong,nha van phong
3026,biet thu mini,biet thu mini
3111,sky villa,sky villa
3157,sh,sh
3160,tran quoc hoan,tran quoc hoan
3161,nha,nha
3240,offictel,offictel
3289,villas,villas
3336,toa nha van phong,toa nha van phong
3426,cap,cap
3503,mai bang,mai bang
3511,dang cap,dang cap
3534,vp,vp
3574,lau dai,lau dai
3603,hoa hau,hoa hau
3620,tai,tai
3629,lo,lo
3633,penthouse dt,penthouse dt
3662,shophoues,shophoues
3798,gom,gom
3822,can ho dich vu,can ho dich vu
4353,dong da,dong da
4364,gap,gap
4420,:,:
4456,mai thai,mai thai
4463,dau gia,dau gia
4464,penthouse m,penthouse m
4485,ccmn,ccmn
4527,building,building
4537,mat tien,mat tien
4605,shophouse premium,shophouse premium
4842,sky villas,sky villas
5107,sieu sang,sieu sang
5151,toa,toa
5158,c53,c53
5307,ntcc,ntcc
5344,van phong,van phong
5372,shohouse,shohouse
5517,cao cap,cao cap
5558,cap bon,cap bon
5560,nha tret,nha tret
5623,bon banh,bon banh
5651,hao hut,hao hut
5885,lap,lap
6370,ban chung cu,ban chung cu
6542,p7,p7
6571,loft house,loft house
6578,chill chill,chill chill
6599,song,song
6607,39a,39a
6772,shophouse chung cu,shophouse chung cu
6868,sang,sang
6880,villas dao ngoc,villas dao ngoc
7009,kim chung,kim chung
7332,thanh chung cu,thanh chung cu
7385,ven,ven
7404,nha tang,nha tang
7424,tap the,tap the
7604,duplex sunshine city,duplex sunshine city
7645,a5,a5
7936,dualkey,dualkey
7942,4,4
8158,sao,sao
8231,d2,d2
8280,tien,tien
8284,b2,b2
8645,cao tang,cao tang
8882,so,so
8944,nha vuon mini,nha vuon mini
9220,cbd,cbd
9232,ks,ks
9248,tt,tt
9361,beach villa,beach villa
9419,khach san vip,khach san vip
9523,budding,budding
9532,house chung cu,house chung cu
9533,s450,s450
9601,nong trai,nong trai
9770,ntcb,ntcb
9783,penthouse duplex,penthouse duplex
9835,lau dai biet phu,lau dai biet phu
9939,penhouse,penhouse
9969,villas dt,villas dt
