Unnamed: 0,individual,alias
15,25,số nhà
22,4,so nha
28,362,tại số nhà nào
31,138,tại sn nào
36,13,o số nhà nào
37,854,o sn nào
41,360,nằm ở số nhà nào
43,119,nằm tại số nhà 
44,622,nằm tại số nhà nào
48,774,thuộc số nhà nào
57,27,thuộc số nhà ?
73,369 1,gần số nhà nào
74,5x32,tai so nha nao
79,180,tai sn nao
82,236,o so nha nao
96,286,o sn nao
99,39,nam o so nha nao
129,285,nam tai so nha 
139,7,nam tai so nha nao
144,484,thuoc so nha nao
146,114/8/3/12,thuoc so nha ?
147,19 - 21,gan so nha nao
149,135,
161,43,
185,275,
228,6x20,
242,354 /,
252,1660,
257,78,
261,257.257/9,
269,59,
285,3.5,
291,1,
300,132,
304,104,
312,343,
329,76,
337,66,
353,47 - 49,
367,318,
380,299,
405,528,
417,741,
431,01,
443,vp6,
447,765,
449,47,
483,234,
493,205,
497,185,
508,107,
517,24,
568,16,
569,167,
572,7m,
585,1068,
588,72,
592,379,
605,177,
612,02,
617,207,
621,250,
634,67,
636,3,
638,214,
656,155m,
662,42,
665,313,
690,80,
700,29,
724,69,
751,63a,
758,624,
761,207/10,
779,203,
799,1693,
824,443,
839,102,
865,58,
878,5.55-48,
960,199,
970,279,
980,88,
986,296,
1000,86,
1004,160,
1014,121,
1018,322,
1022,12a,
1024,79,
1047,90,
1095,110 - 112,
1157,10,
1166,71/3,
1175,150,
1186,220,
1195,68,
1222,142,
1237,44,
1274,6m,
1288,165,
1300,21,
1308,540,
1327,744,
1331,202,
1333,426/15/6,
1341,a66,
1349,178,
1357,40lk512,
1372,274,
1381,725,
1394,188,
1406,04,
1409,b6,
1439,151,
1462,a,
1478,136,
1524,x3,
1525,133,
1547,175,
1574,671,
1609,89,
1621,a3,
1637,26,
1652,56,
1677,27 /,
1685,508,
1710,390,
1715,229,
1740,108,
1745,a1,
1755,7a,
1757,31,
1801,48,
1815,45,
1816,36,
1820,131,
1836,1886,
1837,743,
1895,444,
1928,466,
1948,08,
1965,65,
1972,46,
2000,2317,
2002,305,
2009,209,
2035,856,
2038,69a,
2046,74,
2052,208,
2076,209 /,
2086,1942,
2089,391,
2100,55,
2121,179,
2122,1979,
2142,368,
2144,265,
2182,586,
2183,1982,
2184,181,
2187,68n1,
2216,8b37,
2217,130,
2231,2650m2,
2280,259,
2283,22,
2338,677,
2352,109,
2354,143,
2371,334,
2402,742,
2409,60,
2418,110,
2445,20,
2516,007,
2528,602,
2542,69b,
2562,54bc,
2576,974,
2603,639/2,
2609,6,
2621,3137/1,
2628,106,
2672,147,
2687,156,
2688,61,
2690,192,
2708,2,
2727,100,
2728,885,
2748,557,
2752,3mt,
2768,377,
2770,167/37,
2781,359,
2784,835c,
2795,152,
2801,752/28,
2810,608,
2831,319,
2852,300,
2857,155,
2876,g1 901a,
2884,63,
2971,297,
2980,268,
3014,217,
3064,13b,
3080,115,
3107,"22,23",
3112,237/32/20,
3125,x1,
3178,75,
3184,688,
3223,290,
3224,2 mt,
3240,218,
3249,354,
3257,2mt,
3273,9,
3372,855,
3392,70,
3413,29b,
3424,87,
3447,12,
3474,s1,
3496,212b,
3541,38,
3570,245,
3576,491,
3581,1152,
3601,40,
3682,210,
3693,369,
3700,628,
3713,2836,
3741,505,
3758,801,
3760,49c,
3775,2177,
3790,1079,
3871,916,
3884,256,
3912,95,
3918,114,
3985,32,
4001,m7,
4032,28,
4051,1135,
4060,403a,
4079,2c,
4084,124/7,
4091,440,
4178,1902,
4185,555,
4186,249,
4188,401,
4208,190,
4211,385,
4213,19,
4259,189,
4270,747,
4272,715,
4285,158,
4292,29/8,
4293,198,
4372,126,
4470,200,
4492,495,
4510,600,
4516,5,
4519,373,
4550,258,
4567,499,
4579,116,
4591,79/40,
4602,610b,
4603,161,
4614,3 08/9 / 11 c,
4621,dt975,
