Unnamed: 0,individual,alias
3,o,tiềm năng
4,"chdv, thue",triển vọng
6,"o, biet thu, van phong dai dien, kinh doanh, dau tu, kho",mục đích
10,"xay nha, dau tu, biet thu",tiềm năng thế nào
12,"kinh doanh, o",tiềm năng như thế nào
15,"khach san, van phong",tiềm năng ntn
20,kinh doanh,tiềm năng tn
22,van phong,tiềm năng dc gì
23,dau tu,tiềm năng được gì
30,"cho thue, can ho",tiềm năng gì
31,"dau tu, o",tiềm năng ?
37,coffee,khả năng thế nào
39,"xay van phong, toa nha van phong, sieu thi",khả năng như thế nào
40,"kinh doanh, cho thue",khả năng ntn
46,"dau tu, xay dung",khả năng tn
53,chdv,khả năng dc gì
56,homestay,khả năng được gì
67,"xay nha, dau tu, o",khả năng gì
69,"dau tu, nghi duong, lam khach san",khả năng ?
70,xay nha,triển vọng thế nào
78,cho thue,triển vọng như thế nào
80,"kinh doanh, van phong",triển vọng ntn
81,"xay o, cho thue",triển vọng tn
85,"kinh doanh, lam van phong",triển vọng dc gì
92,"xay nha, dau tu",triển vọng được gì
113,nghi duong,triển vọng gì
114,"xay biet thu, dau tu",triển vọng ?
116,"o, dau tu, nghi duong, quan an",phù hợp thế nào
131,"sinh song, xay biet thu, kinh doanh, lam van phong, o",phù hợp như thế nào
142,"dich vu an uong, dau tu",phù hợp ntn
145,"lam van phong, buon ban",phù hợp tn
148,"kinh doanh, sinh song",phù hợp dc gì
156,"sieu thi, cho thue",phù hợp được gì
171,dinh cu,phù hợp gì
173,"cho thue, o, nghi duong",phù hợp ?
175,"cafe, kinh doanh, o, khach san",thuận lợi thế nào
184,"xay chdv, xay cao oc, khach san",thuận lợi như thế nào
185,"cho thue, lam van phong, van phong, dau tu, mo tiem",thuận lợi ntn
187,"dich vu, spa, kinh doanh, vp, o",thuận lợi tn
190,"xay nha, kinh doanh, cho thue",thuận lợi dc gì
194,"o, cho thue, xay o",thuận lợi được gì
195,"xay dung cao oc, shop online, chdv, spa, cho thue, vp, o",thuận lợi gì
201,"dich vu an uong, kinh doanh, dau tu",thuận lợi ?
205,"kinh doanh, dinh cu, cho thue",thuận tiện thế nào
207,"o, kinh doanh, spa, vp",thuận tiện như thế nào
208,"o, cho thue, can ho dich vu",thuận tiện ntn
215,"chdv, cho thue",thuận tiện tn
216,xay lai,thuận tiện dc gì
217,"o, cho thue",thuận tiện được gì
227,"tru so cong ty, xay dung cao oc, nha hang, kinh doanh, van phong, cafe, karaoke, lop hoc, o",thuận tiện gì
229,"kinh doanh, buon ban",thuận tiện ?
236,"cafe, o, cho thue, dau tu",dùng thế nào
243,"kho, xay lai",dùng như thế nào
244,"van phong dai dien, kinh doanh, lam an",mục đích sử dụng thế nào
247,"kinh doanh, o, cho thue, spa lam dep",mục đích sử dụng như thế nào
252,"kinh doanh, mo van phong, nha xuong",mục đích gì
255,"kinh doanh, o, ngan hang thue, nha xuong",mục đích ?
260,"xay nha, kinh doanh",làm dc gì
262,"kinh doanh, van phong, mo van phong, cho thue",làm được gì
287,"kdbb, kho xuong, kd",để làm thế nào
288,"xay can ho dich vu, building van phong, dau tu, tra sua",để làm ntn
289,dich vu an uong,để làm dc gì
302,xay can ho dich vu,để làm được gì
305,"kinh doanh, buon ban, cho thue",để làm gì
310,"dau tu, nghi duong",cho việc gì
311,"xay nha, dau tu, cho thue",cho mục đích thế nào
313,"xay tro, dau tu, o",cho mục đích như thế nào
319,"tru so cong ty, an uong, trung tam dao tao, spa, cho thue, kinh doanh, kinh doanh cafe, vp, benh vien, sieu thi, khach san, dau tu",cho mục đích ntn
