Unnamed: 0,individual,alias
0,1000000000.0,giá
1,22000000000.0,giá mấy tiền
2,5000000000.0,giá bao nhiêu
3,4000000000.0,giá bao nhiêu tiền
4,130000000000.0,giá bn tiền
5,3000000000.0,giá khoảng bao nhiêu
7,6000000000.0,giá khoảng bao nhiêu tiền
10,560000000.0,giá khoảng bn
11,17000000000.0,giá khoảng bn tiền
13,2000000000.0,giá thế nào
22,8000000000.0,giá như thế nào
23,800000000.0,giá ra sao
33,9000000000.0,tầm giá mấy
35,14000000000.0,tầm giá mấy tiền
36,320000000.0,tầm giá bao nhiêu
40,35000000000.0,tầm giá bao nhiêu tiền
42,10000000000.0,tầm giá bn tiền
44,7000000000.0,tầm giá bn
46,780000000.0,tầm giá khoảng bao nhiêu
53,15000000000.0,tầm giá khoảng bao nhiêu tiền
57,30000000.0,tầm giá khoảng bn
77,630000000.0,tầm giá khoảng bn tiền
82,19000000000.0,tầm giá thế nào
90,550000000.0,tầm giá tn
93,2000000.0,tầm giá như thế nào
94,670000000.0,tầm giá ntn
95,13000000000.0,tầm giá sao
101,540000000.0,tầm giá ra sao
102,890000000.0,mức giá mấy
110,760000000.0,mức giá mấy tiền
116,620000000.0,mức giá bao nhiêu
129,18000000000.0,mức giá bao nhiêu tiền
134,36000000000.0,mức giá bn tiền
136,54000000000.0,mức giá bn
138,80000000000.0,mức giá khoảng bao nhiêu
141,16000000000.0,mức giá khoảng bao nhiêu tiền
151,635000000.0,mức giá khoảng bn
152,135000000000.0,mức giá khoảng bn tiền
156,45000000000.0,mức giá thế nào
158,11000000000.0,mức giá tn
162,20000000000.0,mức giá như thế nào
169,150000000000.0,mức giá ntn
184,210000000000.0,mức giá ra sao
189,990000000.0,khoảng giá mấy
190,12000000000.0,khoảng giá mấy tiền
212,980000000.0,khoảng giá bao nhiêu
215,40000000000.0,khoảng giá bao nhiêu tiền
223,28000000000.0,khoảng giá bn tiền
238,43000000000.0,khoảng giá bn
248,400000000.0,khoảng giá khoảng bao nhiêu
249,960000000.0,khoảng giá khoảng bao nhiêu tiền
250,500000000.0,khoảng giá khoảng bn
252,17000000.0,khoảng giá khoảng bn tiền
257,89000000.0,khoảng giá thế nào
266,790000000.0,khoảng giá tn
271,720000000.0,khoảng giá như thế nào
276,900000000.0,khoảng giá ntn
277,340000000.0,khoảng giá sao
278,750000000.0,khoảng giá ra sao
298,995000000.0,giá trung bình mấy
312,30000000000.0,giá trung bình mấy tiền
319,57000000000.0,giá trung bình bao nhiêu
345,21000000000.0,giá trung bình bao nhiêu tiền
348,220000000000.0,giá trung bình bn tiền
360,165000000000.0,giá trung bình bn
381,25000000000.0,giá trung bình khoảng bao nhiêu
387,930000000.0,giá trung bình khoảng bao nhiêu tiền
397,160000000000.0,giá trung bình khoảng bn
411,710000000.0,giá trung bình khoảng bn tiền
424,600000000.0,giá trung bình thế nào
425,33000000000.0,giá trung bình tn
444,27000000000.0,giá trung bình như thế nào
449,62000000000.0,giá trung bình ntn
474,42000000000.0,giá trung bình sao
475,950000000.0,giá trung bình ra sao
480,650000000.0,giá tb mấy tiền
488,430000000.0,giá tb bao nhiêu
497,23000000000.0,giá tb bao nhiêu tiền
506,32000000000.0,giá tb bn tiền
557,84000000000.0,giá tb khoảng bao nhiêu
568,53000000000.0,giá tb khoảng bao nhiêu tiền
580,34000000000.0,giá tb khoảng bn
596,200000000000.0,giá tb khoảng bn tiền
608,90000000000.0,giá tb thế nào
617,38000000000.0,giá tb tn
622,470000000.0,giá tb như thế nào
658,39000000000.0,giá tb ntn
696,680000000.0,giá tb ra sao
713,72000000000.0,tri giá mấy tiền
740,580000000.0,tri giá bao nhiêu
743,46000000000.0,tri giá bao nhiêu tiền
746,47000000000.0,tri giá bn tiền
791,840000000.0,tri giá bn
820,795000000.0,tri giá khoảng bao nhiêu
827,180000000000.0,tri giá khoảng bao nhiêu tiền
842,675000000.0,tri giá khoảng bn
846,793000000.0,tri giá khoảng bn tiền
862,3300.0,tri giá thế nào
876,680000000000.0,tri giá tn
886,300000000.0,tri giá như thế nào
901,360.0,tri giá ntn
910,5605.0,tri giá sao
917,978000000.0,tri giá ra sao
924,60000.0,bao nhiêu tiền
950,163000000000.0,khoảng bao nhiêu
955,29000000000.0,khoảng bao nhiêu tiền
979,115000000000.0,khoảng bn tiền
1010,83000000000.0,gia may tien
1014,370000000.0,gia bao nhieu
1018,40000000.0,gia bao nhieu tien
1036,55000000000.0,gia bn tien
1041,870000000.0,gia khoang bao nhieu
1042,110000000000.0,gia khoang bao nhieu tien
1049,65000000000.0,gia khoang bn
1091,56000000000.0,gia khoang bn tien
1095,24000000000.0,gia the nao
1100,26000000000.0,gia nhu the nao
1148,85000000000.0,gia ra sao
1155,982000000.0,tam gia may
1162,700000000.0,tam gia may tien
1164,850000000.0,tam gia bao nhieu
1247,920000000.0,tam gia bao nhieu tien
1279,143000000000.0,tam gia bn tien
1284,95000000000.0,tam gia bn
1343,146000000000.0,tam gia khoang bao nhieu
1418,88000000000.0,tam gia khoang bao nhieu tien
1434,492000000.0,tam gia khoang bn
1475,5000000.0,tam gia khoang bn tien
1485,480000000.0,tam gia the nao
1508,543000000.0,tam gia tn
1513,60000000000.0,tam gia nhu the nao
1522,615000000.0,tam gia ntn
1541,51000000000.0,tam gia sao
1570,350000000000.0,tam gia ra sao
1588,800000000000.0,muc gia may
1593,3000000.0,muc gia may tien
1602,492000000000.0,muc gia bao nhieu
1610,105000000000.0,muc gia bao nhieu tien
1624,37000000000.0,muc gia bn tien
1644,140000000000.0,muc gia bn
1648,41000000000.0,muc gia khoang bao nhieu
1654,67000000000.0,muc gia khoang bao nhieu tien
1705,727000000.0,muc gia khoang bn
1726,66000000000.0,muc gia khoang bn tien
1766,880000000.0,muc gia the nao
1772,449000000.0,muc gia tn
1776,118000000000.0,muc gia nhu the nao
1824,48000000000.0,muc gia ntn
1833,319000000.0,muc gia ra sao
1850,950000000000.0,khoang gia may
1880,450000000.0,khoang gia may tien
1938,31000000000.0,khoang gia bao nhieu
1946,952000000.0,khoang gia bao nhieu tien
2001,666000000000.0,khoang gia bn tien
2004,154000000000.0,khoang gia bn
2030,170000000000.0,khoang gia khoang bao nhieu
2034,70000000000.0,khoang gia khoang bao nhieu tien
2047,450000000000.0,khoang gia khoang bn
2083,860000000.0,khoang gia khoang bn tien
2084,779000000.0,khoang gia the nao
2090,295000000000.0,khoang gia tn
2109,275000000000.0,khoang gia nhu the nao
2130,583000000.0,khoang gia ntn
2134,76000000000.0,khoang gia sao
2154,125000000000.0,khoang gia ra sao
2185,69000000000.0,gia trung binh may
2196,380000000.0,gia trung binh may tien
2212,50000000000.0,gia trung binh bao nhieu
2243,9000000.0,gia trung binh bao nhieu tien
2250,874000000.0,gia trung binh bn tien
2269,71000000000.0,gia trung binh bn
2279,1000000.0,gia trung binh khoang bao nhieu
2280,170000000.0,gia trung binh khoang bao nhieu tien
2320,360000000.0,gia trung binh khoang bn
2326,280000000000.0,gia trung binh khoang bn tien
2329,320000000000.0,gia trung binh the nao
2378,671000000.0,gia trung binh tn
2413,970000000.0,gia trung binh nhu the nao
2420,75000000000.0,gia trung binh ntn
2447,72000000.0,gia trung binh sao
2458,111000000.0,gia trung binh ra sao
2535,658000000.0,gia tb may tien
2540,190000000000.0,gia tb bao nhieu
2546,770000000.0,gia tb bao nhieu tien
2557,155000000000.0,gia tb bn tien
2559,216000000000.0,gia tb khoang bao nhieu
2623,588000000.0,gia tb khoang bao nhieu tien
2637,355000000000.0,gia tb khoang bn
2644,328000000000.0,gia tb khoang bn tien
2648,325000000000.0,gia tb the nao
2653,785000000.0,gia tb tn
2680,63000000000.0,gia tb nhu the nao
2692,690000000.0,gia tb ntn
2698,525000000.0,gia tb ra sao
2723,535000000.0,tri gia may tien
2754,217000000000.0,tri gia bao nhieu
2766,145000000000.0,tri gia bao nhieu tien
2767,820000000.0,tri gia bn tien
2783,590000000.0,tri gia bn
2812,200000000.0,tri gia khoang bao nhieu
