Unnamed: 0,individual,alias
0,century city,dự án
1,nam cuong,du an
7,"feliz - vista, feliz, landmark 81",
8,"vci tower, duplex",
9,duc 1,
13,"eastmark city quan, eastmark city, mt east<unk>",
15,"vinaconex, bohemia 25, bohemia residence",
16,sec bau can,
21,park hill,
22,sapphire,
35,the manhattan glory,
36,no hau,
37,central premium,
38,ct12b kim van kim lu,
43,golden mansion,
44,times city,
45,vinhomes ocean park gia lam,
50,my khanh vy,
58,khu phuc hop phuong trang,
66,"khanh ky, lai xa",
68,xuan phu kiet rong,
69,"thanh linh, ham tan",
70,khu nha o hoi nghia,
71,bcons suoi tien,
72,nam viet a,
74,bao lam,
75,kim chung,
83,phu hong thinh 6,
85,waterpoint gom,
86,son kiet,
93,"duong oto, hong rieng",
96,kiet 264 hoang van thai,
98,binh,
99,hang bang,
109,dat nong nghiep,
112,daresco,
125,bau cat 2,
132,bien ocean residence,
142,green park kim dinh,
144,nam dong ha,
147,golden bay city,
148,11,
149,f. home da nang,
155,cityland,
156,alpha king,
157,xuan phuong,
160,phu thanh quan,
162,sky garden,
165,ban chcc riva park,
166,apartment,
172,song da,
182,ch oriental plaza,
185,gold tower,
201,downtown luong son hoa binh,
205,five star,
209,"the season lai thieu, the seasons lai thieu",
212,vinpearl bai vong,
213,dai thanh quan,
214,"resort view, diamond centery",
219,nam xa la kdt xa la,
222,"riverside, bien hoa riverside",
227,van phu,
228,aqua city,
234,muong thanh,
235,"kim chung trach, shop villa, kim chung di trach",
253,doi hoa,
255,phu my,
268,sun,
269,"khang gia chanh hung, khang gia",
278,vuon dien,
286,rieng,
293,586,
299,an binh city,
304,"the botanica, novaland phu nhuan",
321,"golden land, long thanh",
323,"stc long thanh, long thanh",
325,"golden land, stc long thanh",
327,"novaworldphanthiet # dautubatdongsan, novaworld phan thiet",
328,an binh,
333,sacomreal 584,
334,bea sky,
338,le capitole,
340,ch fortuna tan phu,
341,ha noi,
351,millennium,
352,"carillon 7, carillon",
354,flc quang binh,
357,"phu gia, phu my hung",
358,masteri thao dien,
362,17t11,
364,vinh loc,
369,phoenix vung tau,
374,"the show, ladiva quang binh, mat bien",
376,the show - ladiva qb,
377,mat bien hai ninh quang binh,
378,"the light phu yen, conric phu yen",
379,"the show, ladiva qb",
382,"takashi, nhon hoi new city",
384,sadeco,
386,dong nam thuy an,
392,vinhomes smart city,
396,ct5x2 linh dam,
397,nam tan uyen binh duong,
398,the forest,
399,"oanh thuan viet, thuan viet",
403,flc,
405,luxcity dien,
406,chanh phu hoa,
408,mipec,
416,"nhon hoi new city, flc, flc quy nhon resort",
418,"bien hoa universe complex, universe complex",
420,behomes,
423,green home dhtc,
425,van khe,
427,landmark 81,
428,an gia riverside quan,
431,the park home,
437,cat vinh,
443,"bea sky, vp6 linh dam",
447,d-homme,
448,vung tau pearl,
451,bien hoa universe complex,
453,him lam thu duc,
455,hh linh dam,
465,"the classia, the cassia",
466,"central capital, bac ban dao cam ranh",
470,"imperia smart city, vinhome",
472,"sun harbor plaza, harbor central",
473,"casa del rio, casa del rio hoa binh",
474,"sun grand city feria, sun premier village ha long bay, sun grand city feria ha long",
477,honas residence,
481,"alnata plus, diamond alnata plus",
485,"shoptel boutique hotel, sonasea van don harbor city, casino van don, sonasea van don",
488,ninh tho,
490,dai nam,
491,ky long,
492,"la carte ha long bay, a la carte ha long bay",
495,central park,
497,sun harbor plaza,
499,charm club,
504,la astoria,
505,legacy central,
507,lac long quan,
516,xi mang,
517,golden field,
518,an dao d.,
523,thang long number one,
529,tdc,
531,"khu do thi phuc an asuka, phuc an asuka chau doc",
537,summer square quan,
543,t&t thai son,
545,ban chcc sky center,
549,harbor bay ha long,
551,vingroup,
552,orchard garden,
553,kim van kim lu,
554,phong phu 4,
556,vien chan nuoi,
558,"novaland, the botanica",
563,centa city,
567,ecopark,
568,mars hotels dc,
575,five seasons,
577,nhon hoi new city,
579,"urban garden, dao",
580,"thao vien villa, hinode royal park",
584,"sky forest, ecopark",
585,anh minh,
586,goldmark city,
589,the landmark,
592,tan tien,
597,phu hoi,
605,homecity,
606,"grand palace river park, tnr grand palace river park",
608,"phu my hung, canh doi, don lap my quang",
609,"ngan thuan, stella mega city",
611,thanh xuan bac,
612,"safira, safira khang dien",
615,thien long,
625,phu my hung,
628,phu xuan,
630,xuan lam riverside,
