Unnamed: 0,individual,alias
1,40.0,chiều rộng
9,8.0,chieu rong
14,5.0,chiều rộng mặt đường
16,6.0,chieu rong mat duong
17,36.0,mặt đường rộng bao nhiêu
20,48.0,mat duong rong bao nhieu
23,31.0,mặt đường rộng mấy mét
26,18.0,mat duong rong may met
30,375.0,mặt đường rộng như thế nào
35,2.0,mat duong rong nhu the nao
40,15.0,mặt đường có rộng không
46,10.0,mat duong co rong khong
47,55.0,mặt đường hẹp bao nhiêu
48,3.0,mat duong hep bao nhieu
49,30.0,mặt đường hẹp mấy mét
68,4.0,mat duong hep may met
69,54.0,mặt đường hẹp như thế nào
72,105.0,mat duong hep nhu the nao
83,12.0,mặt đường có hẹp không
86,85.0,mat duong co hep khong
89,7.0,mặt đường rộng hay hẹp
93,1000.0,mat duong rong hay hep
115,75.0,mặt đường hẹp hay rộng
152,11.0,mat duong hep hay rong
198,20.0,
211,22.0,
220,1224.0,
221,45.0,
239,135.0,
248,13.0,
293,14.0,
295,24.0,
302,41.0,
305,0.0,
306,26.0,
308,43.0,
314,68.0,
349,28.0,
356,82.0,
359,17.0,
447,9.0,
609,25.0,
618,200.0,
621,33.0,
670,21.0,
676,19.0,
687,715.0,
729,16.0,
740,47.0,
762,155.0,
796,72.0,
832,67.0,
887,65.0,
895,35.0,
1017,37.0,
1023,51.0,
1033,165.0,
1085,257.0,
1138,50.0,
1167,1336.0,
1183,205.0,
1250,60.0,
1256,32.0,
1292,833.0,
1329,96.0,
1355,80.0,
1394,52.0,
1469,42.0,
1480,1.0,
1630,185.0,
1658,300.0,
1681,53.0,
1731,100.0,
1748,23.0,
1765,812.0,
1794,120.0,
1810,69.0,
1831,27.0,
1847,175.0,
2047,250.0,
2607,70.0,
2827,46.0,
2956,3538.0,
3031,87.0,
3105,115.0,
3170,240.0,
3219,44.0,
3579,400.0,
3581,38.0,
3686,345.0,
3722,90.0,
3891,61.0,
4229,29.0,
4249,195.0,
4507,215.0,
4561,577.0,
4732,49.0,
5050,425.0,
5227,111.0,
5253,225.0,
5416,62.0,
5510,56.0,
5898,94.0,
5901,317.0,
5913,1216.0,
5972,270.0,
6050,84.0,
6153,527.0,
6160,168.0,
6474,810.0,
6802,1225.0,
6852,86.0,
6908,95.0,
6929,208.0,
7200,160.0,
7598,125.0,
7924,483.0,
8538,830.0,
8782,74.0,
8949,34.0,
9040,141.0,
9450,1222.0,
9909,593.0,
