Unnamed: 0,street_name,street_alias
0,bien hoa vung tau,tại đường nào
1,ngo thi nham,tại d nào
2,tran quoc toan,o đường nào
3,nguyen tieu la,o d nào
4,hoang van thu,nằm ở đường nào
5,bung co,nằm tại đường 
6,hung vuong,nằm tại đường nào
7,ong van cong,thuộc đường nào
9,go xoai,thuộc đường ?
11,nguyen van nguyen,gần đường nào
12,phung khoang,tai duong nao
13,vanh ai 3,tai d nao
14,ql13,o duong nao
15,nguyen huy tuong,o d nao
16,bau can,nam o duong nao
17,ong thinh,nam tai duong 
18,22,nam tai duong nao
19,tinh lo 87,thuoc duong nao
20,ngo quyen,thuoc duong ?
22,chinh kinh,gan duong nao
25,le van luong,
28,3,
30,an nhon 9,
31,tri trach,
32,la xuan oai,
33,ngoc lam,
36,le van luong noi ai,
37,ta quang buu,
39,nguyen huu tho,
41,xa an,
42,vo nguyen giap,
43,pho quang,
44,van be,
45,- 2 phong,
46,ql1a,
47,huynh tinh cua,
48,3 trac,
50,khanh vy,
52,nguyen thai n,
54,ai mo,
57,tran binh trong,
60,ong xa,
63,ngay em,
64,ql 60,
65,ong khoi,
68,xuan phu,
69,quoc lo 55||28976,
71,"45 tan lap, phuong tan hoa, thi xa i an, binh",
72,nghiem xuan yem,
76,le hong,
77,ql19,
78,2,
79,nguyen an ninh,
80,ao tri,
82,ngoc thuy,
84,nguyen uc thieu phuong,
85,cao toc trung luong,
86,a n,
88,inh quang an,
90,quoc lo 150m,
91,49,
92,tinh lo 818,
93,trung lap,
95,tien ich xung quanh,
96,kiet 264 hoang van thau,
97,o,
100,g 8 linh xuan,
102,t 784,
104,xung quanh,
105,trai a,
106,me kiet nguyen phuoc nguyen,
108,binh ky-hoa quy,
114,nguyen van cu,
115,inh nghe,
116,cam on,
117,nguyen cong tru,
118,thanh,
120,nguyen phuoc chu,
122,t82,
123,le uc tho,
124,ao su tich,
126,ang van bi,
129,cach mang thang,
130,le uan xeo trom,
131,ql 51,
133,phu thuong t,
134,cu lao,
135,sim san,
136,nguyen hoang,
139,xuan hoa,
140,ly tu trong,
141,ly phuc man,
142,ql17b,
143,truong van bang,
144,le uan,
145,quoc lo 37,
146,chien luoc,
147,nguyen van troi,
148,3 huyen thanh quan,
149,le quang ao,
150,ly 5 e,
151,ql14,
153,hoang mai,
157,cong hoa,
159,17m5,
161,trung kinh,
162,pham van nghi,
166,nguyen trai,
167,nguyen 3 luat,
169,quan su,
170,hung phu,
171,binh than,
172,pham van ong,
173,tran phu,
174,420,
176,o xuan hop,
177,hoc huu,
178,cat vu,
179,hoang sa,
180,t,
183,hong tien,
188,pham viet chanh,
189,tinh lo 420,
190,ql,
191,h 09,
192,noi bo,
194,ho bieu chanh,
195,phan ang luu,
203,thich quang uc,
204,xa la nguyen xien,
205,inh uc thien,
206,tran quang khai,
208,phan xich long,
209,9,
212,tl 48,
215,ien bien phu,
216,nguyen thi ranh,
217,trieu khuc,
220,22 thang 12,
221,hoa cuc,
222,bui huu nghia,
223,tran khac chan,
225,tran uy chien,
227,quang trung,
232,le van sy,
235,vanh ai 3 5,
237,van phuc,
238,hoang ieu,
241,1,
242,bui inh tuy,
243,oan thi iem,
244,tan thuy,
245,minh mang,
248,"tl 741, thi tran phuoc vinh",
249,hoang chinh chu,
251,ang minh tru,
252,huong lo 2,
255,quoc lo 51,
256,phan huy ich,
257,chung cu,
259,ang thuy tram,
260,19/5,
261,nguyen thi thap,
263,nguyen thi chay,
264,nguyen anh thu,
265,huong lo 11,
268,ng ma,
269,ho thanh bien,
272,quach ieu,
273,nhat tao,
276,vung tau,
277,quoc lo 1km,
280,hiep binh,
281,"pham huu lau, xa phuoc kien",
282,le van viet,
283,phan huy ich||7556,
284,lon gan,
285,goc e,
287,ng lu xa trung an,
290,vo van ngan,
291,thanh xuan,
293,56 kdc 586,
295,vo van hat,
296,truong thi kien,
300,cau giay,
302,thai ly,
309,ang ung,
310,quoc lo 6,
311,cong khi,
312,nguyen trong tuyen,
313,quoc lo 21,
314,chanh phu hoa,
317,phan inh phung,
321,t769,
322,hang huong,
326,tran 5 trung,
329,cu loc,
334,nguyen xien,
335,van quan,
336,linh am,
337,vo van tan,
338,thai thinh,
341,ap ong quan,
342,vanh ai,
345,cach mang thang 8,
346,hcm,
348,truong inh,
351,ben van on,
353,o thi 8,
354,bo bien,
355,vinh hung,
356,quoc lo 1a,
359,tay thang long,
360,tram,
362,nguyen thi inh,
363,xuan ieu,
366,ien tich,
367,pham hung,
370,lu gia quan,
373,quoc lo 19b,
380,mai ong,
381,huynh van banh,
