Unnamed: 0,individual,alias
0,"san bay long thanh, khu biet thu lien ke, khu do thi century city, -, san bay quoc te long thanh, cang hang khong quoc te long thanh, ho boi, san bay, cao toc tp., cong vien xanh, cong vien, tieu hoc, cao toc, cao tang, huong lo, mam non, khu trung tam hoi nghi",xung quanh
1,"cong vien thien van hoc, tttm aeon mall ha dong",gần
4,"khach san, van phong, ngan hang",
5,"ql51, cao toc bien hoa vung tau",
6,"quan cafe tra tien, nghi duong cho, tam ky",
7,ho boi,
8,"truong hoc benh vien, khu cong nghiep, khu dan tri cao, co quan hanh chinh",
10,"uy ban, tinh lo dt605, cho, khu du lich bo bo, cho le trach dn, truong hoc, vuon dua",
13,"ca phe san vuon, trung tam tai chinh thu thiem, cho, ho boi chuan resort, song, khu cong nghe cao 1 & 2, san tennis, phong sinh hoat cong dong, y te, kdc dien phuc, shopping, khu vui choi sinh thai, officetel, ho canh quan, truong mam non chat luong cao, thu vien, truong hoc cong lap & quoc te, cong vien, gym, khu phuc hop can ho, san bay quoc te long thanh, truong dai hoc quoc gia, vuon sinh thai, nha hang, san the thao da nang, khu vui choi",
14,nha cao tang,
15,thuy tinh pha le,
17,"nga 4, cho on, kcn song lo 1, cho",
18,"truong hoc, ngan hang, cho",
20,cau rong,
21,quang truong,
24,du lich,
25,dan tri cao,
26,"kdt sinh thai nam dam vac, dan tri cao",
29,"vuon trai cay, ben xe, ho cau",
31,"bai tam, song han, four points, khach san cao cap, ubnd, harmony, can ho, hilton gardeninn, truong hoc, san bay, tram y te, cho, dan tri cao, cong vien bien dong, soliel anh duong",
32,"cho, truong hoc, ngan hang",
33,"chuong duong, long bien",
35,"cong vien vuon nhat, bai nuong bbq, benh vien vinmec, truong hoc vinschool, ben du thuyen, khu biet thu, cong vien malibu, bien nhan tao, trung tam thuong mai mega mall, ho ca koi, grand, thap van phong, ho sen sung, dong nai, cong vien",
37,"khu phuc hop thuong mai, trung tam thuong mai",
39,"tay nam, khu du lich van hoa, the manor central park, kdt linh dam",
40,"ga tau, cho con, ngan hang, benh vien da khoa, big c, benh vien c.",
41,"ho dong da, truong dh, khu dan tri cao",
43,"cong vien gia dinh, san bay tan son nhat, gym, spa, bigc, nha tre, quan y vien 175, coop mart, bbq, ho boi, cho tan son nhat",
45,"cong vien the thao, duong cao toc ha noi, truong pho thong lien cap dewey, truong dh vinuni, ho san ho, cong vien gym ngoai troi, phong da nang, be boi 4 mua",
46,"sealink city, summer land, biet thu mui ne, seahara, bien qg mui ne, san bay phan thiet",
47,ho dieu tiet,
48,"uy ban, cho, benh vien, cong an",
49,"movenpick, du lich, sobico, khu hanh chinh moi phu quoc, bai tam ong lang",
50,"ben xe binh phuoc, kcn bac dong phu, cho dong phu, nha hang, khu vui choi tre em, sieu thi bach hoa xanh, trung tam thuong mai, ho boi, benh vien hoan my binh phuoc, phong tap gym, sieu thi coopmart",
51,"tram, truong, cho",
53,van phong,
54,"truong quoc te wellspring, ubnd phuong, dan tri cao",
59,truong mn,
60,"tret xay kien co, truong c 1",
61,sieu thi aeon,
65,"cho, truong hoc, sieu thi, benh vien da khoa dong nai, khu vui choi",
66,cho hang da,
67,ao ca,
69,"tram y te, truong hoc, cho",
70,"uy ban nhan dan, truong, cho",
71,"suoi tien, quan an quan cf, cho, ho boi, kdl suoi tien, lang dh, ben xe mien dong, sieu thi mini, cong vien, benh vien, nha shcd, ho da, nha tre, sieu thi coopfood",
75,"tram xa, truong hoc, cho",
77,"truong hoc, ubnd xa, qlo 19, cho",
78,"aeon, khu an ninh, dan tri cao",
80,"benh vien da khoa quan 7, truong hoc, sieu thi, tttm big c, cau phu my",
81,"cho duong so 59, dan tri cao",
83,"hoan cong, cho truong san bay, trung tam dich vi",
84,cho xom,
85,"nha tho, clubhouse, ho boi, the thao, truong hoc, ben du thuyen, cao toc, chua, san bong da mini, xe dap, san tennis",
86,"cho da son cho hoa khanh nan, truong c 123",
87,"cho tan ba, dt747",
88,"bidv, cho, truong tieu hoc phuoc tan, ngan hang agribank, uy ban xa",
90,quan bia tuoi 77,
91,"cong vien, truong hoc, cho",
92,"khu hanh chinh cong thu thua, kcn idico, cho 1, 818",
93,khu dan cu,
97,"vingruop, uy ban xa tan my",
99,sinh hoat chung,
100,"truong hoc, trung tam van hoa the thao, san bong, cho",
101,"ho boi, spa, cong vien, tttm, gym",
102,"khu dan cu hien huu, kdl nui ba",
103,"truong hoc cap 2-3, ho boi tay thanh, cho",
105,ho,
