Unnamed: 0,individual,alias
2,6,tại phường nào
3,8,tại p nào
5,loc an,o phường nào
9,binh hung hoa a,o p nào
11,tan dinh,nằm ở phường nào
14,hiep binh huoc,nằm tại phường 
15,thanh xuan trung,nằm tại phường nào
19,van hoa 3 vi,thuộc phường nào
23,van dau,thuộc phường ?
27,thuy xuan tien,gần phường nào
28,11,tai phuong nao
29,bau can,tai p nao
31,an 2 bac,o phuong nao
34,tan huc,o p nao
36,huoc lai,nam o phuong nao
37,5,nam tai phuong 
43,9,nam tai phuong nao
46,ham duc,thuoc phuong nao
47,hoa chau,thuoc phuong ?
48,10,gan phuong nao
51,an hu,
54,bo de,
56,xuan truong,
58,hoa minh,
59,tu hiep,
60,tan dong hiep,
61,tan quy,
62,tan son nhi,
63,dai kim,
64,thanh thoi a,
65,8 hoa,
66,duc thuong,
67,hoa khanh,
68,hoa son,
69,tan huoc,
70,hoi nghia,
72,khue my,
73,long binh,
74,buu long,
75,kim chung,
76,hu hoa,
77,duc binh tay,
78,binh hung hoa,
79,7,
80,hu thuan,
81,14,
82,ngoc thuy,
83,binh an,
84,di an,
85,an thanh,
86,hoa khanh 5,
87,thanh huoc,
88,huoc tan,
89,trang dai,
90,thi tran dak mil,
91,binh trung dong,
92,thi tran thu thua,
93,tan hu trung,
94,huoc thanh,
95,hiep thanh,
97,tan my,
98,an binh,
99,an khanh,
100,linh xuan,
101,nhan chinh,
102,doi 61,
103,tay thanh,
104,thanh hu,
105,thi tran di linh,
106,an khe,
107,hoa khe,
108,hoa quy,
109,xuan hiep,
110,tru van tho,
112,duc lap thuong,
114,my khanh,
116,thoi hoa,
117,an 2 tay,
118,thoi 8 thon,
119,dong hoa,
120,hoa hiep bac,
121,dinh du,
127,binh yen,
129,12,
131,hu my,
139,xh,
142,kim dinh,
143,thanh my loi,
144,dong luong,
148,my da dong,
149,my an,
152,2,
156,nguyen cu trinh,
158,hoa thang,
162,hu my hung,
166,cau kho,
167,binh tho,
168,thanh tri,
171,yna,
174,sen tri,
177,qui duc,
183,hong tien,
188,19,
195,3,
197,xuan mai,
201,luong son,
203,4,
205,tan quy tay,
209,lai thieu,
211,hu luong,
213,tan hu,
215,da kao,
216,trung lap ha,
217,van quan ha dong,
218,hoa binh,
222,tan hanh,
240,hoa thach,
243,loc thanh,
244,huc dong,
245,thuy xuan,
246,binh chanh,
248,thi tran huoc vinh,
249,tan binh,
250,my,
253,thi tran chi ne,
254,binh hoa,
259,13,
260,tan lan,
262,chinh gian,
264,trung chanh,
265,an hu tay,
266,huoc the,
267,ngai tu,
268,quang chau,
270,thac gian,
271,xuan thoi thuong,
274,hu la,
275,duc hoa thuong,
276,long son,
277,thanh luong,
278,thi tran tan khai,
279,cuor dang,
280,hiep binh chanh,
281,huoc kien,
282,tang nhon hu b,
283,15,
284,an hoa,
285,hoang van thu,
287,trung an,
288,tan kieng,
289,binh chuan,
291,thanh loc,
292,hu trung,
293,hu thu,
295,long truong,
296,thai my,
298,thi tran tan hu,
302,thao dien quan,
306,dong hoi,
310,hu vinh,
312,1,
313,son tay,
321,loc an binh son,
323,binh son loc an,
326,hoa xuan,
330,kien hung,
331,hu long,
337,huoc my,
339,cuc,
341,soc son,
347,loc tan,
353,tan quy quan,
356,hong thai,
360,cua duong,
361,xuan canh,
364,binh hung hoa b,
384,tan,
387,dien toan,
389,trau quy,
392,tay mo,
394,ky son,
405,binh thuan,
411,tan nhut,
418,ho nai,
419,ben cat,
426,5 ha,
429,vinh luong,
434,hu tho hoa,
437,vinh tru,
453,go o moi quan,
458,lieu,
465,hu huu,
466,cam 2 dong,
469,tan tuc,
472,bai chay,
473,trung minh,
480,khanh hu,
482,yen hoa,
484,hung vuong,
485,ha long,
486,hoai duc,
488,ninh tho,
489,tan thuan tay,
492,hung thang,
494,tang nhon hu a,
496,cam duc,
499,huoc thuan,
501,so dau,
502,thang,
522,suoi nghe,
529,van gia,
531,vinh my,
532,nhon 2,
538,duc hoa,
539,mai quy nhon,
543,long hau,
551,cam tan,
554,hu,
556,thuy,
557,do,
560,hu xuan,
562,minh tien,
570,ho,
574,chanh hu hoa,
576,an ninh tay,
578,huoc loc,
581,quat lam,
583,xuan o,
587,thao dien,
593,linh chieu,
596,26,
610,my khe 1,
619,dai cat,
620,mai lam,
622,dien dong,
629,minh tri,
631,quang 2,
634,nha be,
638,thang nhat,
642,thuan giao,
653,binh hung,
654,tan chau,
655,8 anh,
658,thanh khe dong,
664,buu hoa,
668,binh my huyen cu,
670,sai dong,
672,3 hang,
673,my dinh,
674,ninh tan,
675,van quan,
679,bao hieu,
682,5 ban,
695,ham thanh,
696,bau don,
712,thanh my loi quan,
720,cam nghia,
724,quang an,
727,cu khoi,
729,nghia hu,
733,canh,
740,lac xuan,
745,my huoc 4,
748,dong du,
749,yen hu,
751,ben thanh,
754,tan liem,
759,duong quang,
768,binh loi,
770,huong son,
773,loc duc,
774,thanh nhan,
782,dak nia,
784,3 diem,
787,thanh xuan,
791,4 tri,
796,minh hung,
799,tan uyen,
802,tu y,
811,lai uyen,
821,25,
827,nguyen thai binh,
828,quang cu,
831,linh 5,
832,dien an,
837,hau nghia,
838,nga tu so,
841,vinh loc a,
846,da huc,
852,tan chanh hiep,
861,dong anh,
864,linh trung,
872,huoc hoi,
873,tan dan,
874,xuan la,
875,van hu,
879,hoa long,
887,tan loi,
889,bau bang,
890,an hu dong,
891,co nhue,
897,mnh,
900,song may,
901,tay mo dai mo,
902,thanh my,
903,bac lenh,
904,duc thang,
905,tan tien,
906,gia lam,
908,tan giang,
915,minh hu,
918,ham cuong,
920,vac,
926,huc loi,
927,my huoc,
929,hu hoi,
931,cay gao,
934,long chau star,
937,minh thanh chon thanh,
942,hu khe,
943,5 huoc,
944,hon tre,
947,khe,
962,tan hung,
963,3 trai,
967,thanh liet,
976,suoi nho,
982,gia quat,
983,la khe,
999,duc giang,
1002,mong hoa,
1014,dai,
1027,8 hiep,
1031,an nhon tay,
1035,ea drong,
1050,8 trinh hoang mai,
1057,tan thoi hoa,
1061,my hoa,
1068,16,
1074,quang tien,
1078,son my,
1084,cam hiep 5,
1085,van hung,
